B,2018-11-12T12:36:06Z,59.8192114,-142.313149,6873060.06,-2.378329464,32.33329423,-5.492815826
B,2018-11-12T12:36:07Z,59.8824951,-142.307448,6873052.25,-2.363389344,32.33329423,-5.492815826
B,2018-11-12T12:36:08Z,59.9457781,-142.301708,6873044.45,-2.344882152,32.33329423,-5.492815826
B,2018-11-12T12:36:09Z,60.0090604,-142.295931,6873036.66,-2.295927138,32.33329423,-5.492815826
B,2018-11-12T12:36:10Z,60.072342,-142.290116,6873028.89,-2.354684376,32.33329423,-5.492815826
B,2018-11-12T12:36:11Z,60.1356229,-142.284262,6873021.13,-2.375631228,32.33329423,-5.492815826
B,2018-11-12T12:36:12Z,60.1989031,-142.27837,6873013.38,-2.44173975,32.33329423,-5.492815826
B,2018-11-12T12:36:13Z,60.2621826,-142.272438,6873005.65,-2.432036262,32.33329423,-5.492815826
B,2018-11-12T12:36:14Z,60.3254614,-142.266468,6872997.92,-2.371596564,32.33329423,-5.492815826
B,2018-11-12T12:36:15Z,60.3887395,-142.260458,6872990.22,-2.344800474,32.33329423,-5.492815826
B,2018-11-12T12:36:16Z,60.4520169,-142.254408,6872982.52,-2.40481647,32.33329423,-5.492815826
B,2018-11-12T12:36:17Z,60.5152935,-142.248319,6872974.84,-2.355148092,32.33329423,-5.492815826
B,2018-11-12T12:36:18Z,60.5785694,-142.242189,6872967.17,-2.306376738,32.33329423,-5.492815826
B,2018-11-12T12:36:19Z,60.6418445,-142.236018,6872959.51,-2.276438604,32.33329423,-5.492815826
B,2018-11-12T12:36:20Z,60.7051189,-142.229807,6872951.87,-2.218455012,32.33329423,-5.492815826
B,2018-11-12T12:36:21Z,60.7683926,-142.223555,6872944.24,-2.2435197,32.33329423,-5.492815826
B,2018-11-12T12:36:22Z,60.8316655,-142.217262,6872936.62,-2.315675952,32.33329423,-5.492815826
B,2018-11-12T12:36:23Z,60.8949376,-142.210927,6872929.01,-2.302657242,32.33329423,-5.492815826
B,2018-11-12T12:36:24Z,60.958209,-142.20455,6872921.42,-2.289647706,32.33329423,-5.492815826
B,2018-11-12T12:36:25Z,61.0214796,-142.198132,6872913.85,-2.294688462,32.33329423,-5.492815826
B,2018-11-12T12:36:26Z,61.0847494,-142.19167,6872906.28,-2.282022012,32.33329423,-5.492815826
B,2018-11-12T12:36:27Z,61.1480185,-142.185167,6872898.73,-2.235851106,32.33329423,-5.492815826
B,2018-11-12T12:36:28Z,61.2112867,-142.17862,6872891.19,-2.219519724,32.33329423,-5.492815826
B,2018-11-12T12:36:29Z,61.2745542,-142.17203,6872883.67,-2.240544222,32.33329423,-5.492815826
B,2018-11-12T12:36:30Z,61.3378208,-142.165397,6872876.15,-2.209087812,32.33329423,-5.492815826
B,2018-11-12T12:36:31Z,61.4010867,-142.158719,6872868.66,-2.18186304,32.33329423,-5.492815826
B,2018-11-12T12:36:32Z,61.4643517,-142.151998,6872861.17,-2.1832083,32.33329423,-5.492815826
B,2018-11-12T12:36:33Z,61.5276159,-142.145232,6872853.7,-2.152496514,32.33329423,-5.492815826
B,2018-11-12T12:36:34Z,61.5908793,-142.138422,6872846.24,-2.131039668,32.33329423,-5.492815826
B,2018-11-12T12:36:35Z,61.6541419,-142.131567,6872838.8,-2.140438812,32.33329423,-5.492815826
B,2018-11-12T12:36:36Z,61.7174036,-142.124666,6872831.36,-2.166400584,32.33329423,-5.492815826
B,2018-11-12T12:36:37Z,61.7806645,-142.11772,6872823.95,-2.120854266,32.33329423,-5.492815826
